<Import Instrumentlist>
AAPL
ACN
ADBE
ADI
ADP
ADS
ADSK
AKAM
AMAT
APH
ATVI
AVGO
CA
CRM
CSCO
CSRA
CTL
CTSH
CTXS
EA
EBAY
FB
FFIV
FIS
FISV
FLIR
FSLR
FTR
GLW
GOOG
GOOGL
GPN
HPE
HPQ
HRS
IBM
INTC
INTU
JNPR
KLAC
LLTC
LRCX
LVLT
MA
MCHP
MSFT
MSI
MU
NTAP
NVDA
ORCL
PAYX
PYPL
QCOM
QRVO
RHT
STX
SWKS
SYMC
T
TDC
TEL
TSS
TXN
V
VRSN
VZ
WDC
WU
XLNX
XRX
YHOO
