<Import Instrumentlist>
ADM
BF.B
CAG
CHD
CL
CLX
COST
CPB
CVS
DPS
EL
GIS
HRL
HSY
K
KHC
KMB
KO
KR
MDLZ
MJN
MKC
MNST
MO
PEP
PG
PM
RAI
SJM
STZ
SYY
TAP
TSN
WBA
WFM
WMT
