<Import Instrumentlist>
A
AAPL
AGN
AMAT
AMD
AMZN
AVGO
AVY
AXP
BA
BAC
BCR
BDX
BHI
C.S
CA
CAH
CBS
CLX
CMI
CR
CSC
CTSH
CVX
DD.S
DE
DHR
DOV
DOW
ELY
EMN
ESRX
ETN
EW
FISV
GE.S
GIS
GM
GRMN
HIG
HON
HPQ
HRS
IBM
IP
ITW
JCI
JNJ
JPM
KMB
KO
LMT
LVLT
MA
MAT
MDLZ
MDT
MET
MMM
MON
MSFT
MSI
MU
NBR
NCR
NKE
NOC
ORCL
PCLN
PFE
PG
PGR
PRU
PX
QCOM
ROK
RTN
SEE
SLB
SNE
SON
SYK
T
TEL
TER
TEVA
TGT
TXN
TXT
UNH
UTX
V
VZ
WDC
WHR
WY
XLNX
XOM
XRX
YHOO
